month,day,year,position01,position02,position03,position04,position05
10,6,2023,1,7,5,2,8,4
10,5,2023,6,1,4,2,6,2
10,4,2023,8,5,8,8,1,5
10,3,2023,5,1,3,0,4,9
10,2,2023,2,3,7,9,6,4
10,1,2023,6,9,8,1,8,6
09,30,2023,6,5,7,1,8,8
09,29,2023,0,8,4,7,4,7
09,28,2023,8,4,0,3,7,7
09,27,2023,6,3,0,5,4,1
09,26,2023,2,5,4,7,0,5
09,25,2023,3,7,7,2,3,5
09,24,2023,6,2,5,5,0,3
09,23,2023,1,1,0,8,8,3
09,22,2023,0,9,9,5,4,0
09,21,2023,5,8,6,0,8,3
09,20,2023,5,6,6,3,6,5
09,19,2023,6,1,7,8,1,9
09,18,2023,9,5,6,8,7,0
09,17,2023,1,5,9,9,5,0
09,16,2023,0,2,6,2,8,3
09,15,2023,9,1,4,7,9,7
09,14,2023,2,9,3,4,5,4
09,13,2023,3,8,7,5,5,5
09,12,2023,9,9,0,8,3,7
09,11,2023,2,8,4,8,4,7
09,10,2023,3,5,3,1,3,6
09,9,2023,9,4,1,8,7,7
09,8,2023,1,1,2,1,7,1
09,7,2023,9,9,5,0,8,3
09,6,2023,8,5,4,0,8,6
09,5,2023,2,8,1,6,8,8
09,4,2023,9,3,5,1,3,2
09,3,2023,1,8,1,6,4,8
09,2,2023,2,3,0,5,6,9
09,1,2023,2,4,8,6,6,2
08,31,2023,3,5,3,3,4,9
08,30,2023,1,2,3,6,0,7
08,29,2023,5,6,8,2,9,6
08,28,2023,0,6,4,5,7,9
08,27,2023,7,6,0,7,2,3
08,26,2023,2,4,9,9,7,4
08,25,2023,9,3,2,9,3,2
08,24,2023,0,7,7,4,4,6
08,23,2023,0,3,4,2,2,4
08,22,2023,2,5,8,8,6,1
08,21,2023,4,2,4,6,0,5
08,20,2023,8,0,6,2,5,0
08,19,2023,2,4,4,6,8,8
08,18,2023,6,2,6,2,2,5
08,17,2023,3,2,6,7,2,3
08,16,2023,8,0,7,7,4,7
08,15,2023,9,5,2,2,0,9
08,14,2023,9,0,4,1,4,7
08,13,2023,7,2,7,7,0,7
08,12,2023,3,4,1,5,9,2
08,11,2023,8,9,0,7,7,3
08,10,2023,1,0,7,2,6,8
08,9,2023,1,5,4,9,6,2
08,8,2023,6,4,5,2,7,3
08,7,2023,4,6,8,0,6,9
08,6,2023,7,2,5,7,5,8
08,5,2023,0,2,7,0,9,3
08,4,2023,7,6,5,4,4,0
08,3,2023,3,9,1,9,5,0
08,2,2023,1,7,8,6,4,4
08,1,2023,9,7,4,5,5,0
07,31,2023,2,5,7,6,7,0
07,30,2023,0,2,2,0,2,8
07,29,2023,6,3,2,0,0,0
07,28,2023,2,2,0,9,8,9
07,27,2023,8,3,4,8,6,8
07,26,2023,6,4,9,3,6,5
07,25,2023,1,0,7,1,3,7
07,24,2023,5,0,5,9,8,2
07,23,2023,9,9,0,9,6,7
07,22,2023,9,1,2,9,2,6
07,21,2023,6,6,3,6,9,6
07,20,2023,8,0,8,4,6,8
07,19,2023,3,7,6,6,3,4
07,18,2023,2,8,8,9,4,7
07,17,2023,0,5,1,8,9,7
07,16,2023,8,0,1,7,2,3
07,15,2023,7,2,5,0,7,7
07,14,2023,8,8,4,9,2,5
07,13,2023,6,4,3,3,5,3
07,12,2023,4,8,7,9,8,5
07,11,2023,3,9,8,4,8,3
07,10,2023,5,1,5,8,1,4
07,9,2023,9,6,1,3,4,2
07,8,2023,1,9,6,6,3,6
07,7,2023,4,4,6,3,3,9
07,6,2023,1,9,7,2,2,5
07,5,2023,5,5,5,9,3,5
07,4,2023,4,5,5,8,2,4
07,3,2023,4,9,5,6,8,6
07,2,2023,2,1,5,0,9,7
07,1,2023,2,9,1,2,0,4
06,30,2023,7,3,5,0,9,5
06,29,2023,3,1,0,9,2,2
06,28,2023,3,7,8,3,1,2
06,27,2023,6,4,9,4,1,6
06,26,2023,4,5,8,2,4,8
06,25,2023,8,8,6,3,9,8
06,24,2023,1,8,0,5,3,3
06,23,2023,7,2,3,7,6,0
06,22,2023,4,0,7,6,7,4
06,21,2023,4,7,2,1,1,9
06,20,2023,5,5,3,3,2,0
06,19,2023,0,0,7,6,7,9
06,18,2023,8,3,6,1,5,9
06,17,2023,2,6,1,4,7,4
06,16,2023,9,3,9,1,7,0
06,15,2023,2,4,1,3,9,7
06,14,2023,7,0,6,2,9,3
06,13,2023,9,8,6,8,0,6
06,12,2023,9,4,1,6,7,7
06,11,2023,1,3,8,2,4,2
06,10,2023,5,9,1,1,8,9
06,9,2023,1,0,9,7,4,8
06,8,2023,2,5,0,3,5,8
06,7,2023,2,4,3,9,4,0
06,6,2023,8,5,4,8,5,1
06,5,2023,9,9,0,5,4,0
