month,day,year,position01,position02,position03,position04,position05,position06,position07
01,3,2023,25,29,33,41,44,18,4
12,30,2022,1,3,6,44,51,7,3
12,27,2022,9,13,36,59,61,11,2
12,23,2022,15,21,32,38,62,8,4
12,20,2022,3,4,33,36,52,17,4
12,16,2022,8,35,40,53,56,11,3
12,13,2022,14,22,48,58,68,6,2
12,9,2022,8,19,53,61,69,19,4
12,6,2022,15,16,19,28,47,13,3
12,2,2022,1,21,36,46,52,16,3
11,29,2022,20,23,37,46,52,6,4
11,25,2022,29,31,46,54,67,18,2
11,22,2022,13,23,24,25,43,2,3
11,18,2022,2,14,16,38,66,9,4
11,15,2022,6,19,28,46,61,18,2
11,11,2022,1,5,17,37,70,22,3
11,8,2022,5,13,29,38,59,23,4
11,4,2022,2,20,47,55,59,19,2
11,1,2022,5,9,15,16,17,25,3
10,28,2022,4,18,31,53,69,7,2
10,25,2022,21,30,35,45,66,21,3
10,21,2022,34,36,43,45,68,22,2
10,18,2022,1,15,20,44,67,23,3
10,14,2022,9,22,26,41,44,19,2
10,11,2022,3,7,11,13,38,1,3
10,7,2022,6,11,29,36,55,21,2
10,4,2022,15,18,25,33,38,25,2
09,30,2022,16,26,37,40,51,6,4
09,27,2022,8,14,24,43,51,9,3
09,23,2022,5,50,53,58,64,22,4
09,20,2022,9,21,28,30,52,10,5
09,16,2022,15,30,35,38,66,12,4
09,13,2022,14,25,38,59,64,21,4
09,9,2022,16,21,54,55,69,22,2
09,6,2022,6,17,46,59,68,2,4
09,2,2022,39,40,52,60,67,20,2
08,30,2022,2,38,55,57,65,17,3
08,26,2022,6,27,30,38,64,23,2
08,23,2022,3,5,47,48,67,7,2
08,19,2022,12,18,24,46,65,3,4
08,16,2022,33,35,41,45,51,1,2
08,12,2022,23,24,50,54,64,3,3
08,9,2022,1,8,10,25,32,13,3
08,5,2022,2,5,29,64,69,18,3
08,2,2022,10,14,25,37,63,14,3
07,29,2022,13,36,45,57,67,14,2
07,26,2022,7,29,60,63,66,15,3
07,22,2022,14,40,60,64,66,16,3
07,19,2022,2,31,32,37,70,25,3
07,15,2022,8,20,26,53,64,15,5
07,12,2022,4,7,10,45,64,12,2
07,8,2022,20,36,61,62,69,20,3
07,5,2022,27,31,50,51,61,21,4
07,1,2022,1,27,29,38,62,12,3
06,28,2022,7,12,21,43,55,11,2
06,24,2022,1,7,11,25,56,14,2
06,21,2022,8,13,18,32,42,20,3
06,17,2022,20,36,53,56,69,16,2
06,14,2022,30,37,38,42,58,22,2
06,10,2022,3,12,14,18,32,4,5
06,7,2022,4,34,40,41,53,3,4
06,3,2022,11,16,22,48,59,11,4
05,31,2022,6,15,41,63,64,24,4
05,27,2022,3,14,40,53,54,8,3
05,24,2022,3,5,6,63,68,25,3
05,20,2022,33,40,59,60,69,22,3
05,17,2022,7,21,24,41,65,24,4
05,13,2022,11,41,43,44,65,13,3
05,10,2022,15,19,20,61,70,9,3
05,6,2022,16,21,33,52,70,10,2
05,3,2022,15,19,27,35,57,17,2
04,29,2022,9,11,34,49,66,15,2
04,26,2022,5,7,19,46,69,2,4
04,22,2022,7,28,29,58,59,10,3
04,19,2022,2,9,33,47,53,24,3
04,15,2022,4,17,20,46,64,23,4
04,12,2022,2,8,14,20,31,17,2
04,8,2022,8,11,29,32,40,2,3
04,5,2022,22,43,60,63,64,18,2
04,1,2022,26,42,47,48,63,21,5
03,29,2022,7,22,36,45,47,12,2
03,25,2022,3,13,42,51,58,17,2
03,22,2022,8,15,21,27,61,8,3
03,18,2022,2,6,25,40,45,5,4
03,15,2022,9,14,28,59,60,24,5
03,11,2022,24,28,39,44,66,25,3
03,8,2022,7,18,38,58,64,24,3
03,4,2022,11,19,28,46,47,5,4
03,1,2022,18,22,38,39,50,18,2
02,25,2022,15,31,40,56,66,4,3
02,22,2022,6,17,22,57,62,3,3
02,18,2022,6,11,50,63,68,17,4
02,15,2022,2,4,15,21,63,19,3
02,11,2022,11,16,23,24,30,24,3
02,8,2022,1,17,20,52,54,2,3
02,4,2022,7,16,34,44,61,24,4
02,1,2022,11,24,38,62,66,1,4
01,28,2022,3,16,25,44,55,13,3
01,25,2022,3,12,38,53,58,13,3
01,21,2022,38,45,46,55,67,18,2
01,18,2022,4,19,39,42,52,9,4
01,14,2022,5,8,13,22,48,25,2
01,11,2022,2,3,19,52,58,16,2
01,7,2022,7,29,43,56,57,6,3
01,4,2022,4,6,16,21,22,1,3
12,31,2021,2,5,30,46,61,8,3
12,28,2021,3,5,8,31,38,4,3
12,24,2021,16,17,25,36,37,16,2
12,21,2021,25,31,58,64,67,24,3
12,17,2021,21,32,38,48,62,10,3
12,14,2021,33,35,44,55,69,20,3
12,10,2021,23,25,40,42,60,8,2
12,7,2021,1,7,40,43,68,1,2
12,3,2021,22,45,48,58,61,13,5
11,30,2021,7,8,26,30,39,17,2
11,26,2021,7,27,37,42,59,2,2
11,23,2021,7,24,54,57,58,6,3
11,19,2021,5,23,52,53,59,18,5
11,16,2021,6,22,44,53,65,3,3
11,12,2021,30,32,42,46,48,15,2
11,9,2021,9,14,16,26,49,14,3
11,5,2021,10,15,20,66,68,18,2
11,2,2021,5,10,26,58,65,9,2
10,29,2021,15,26,28,35,45,4,3
10,26,2021,6,14,19,56,62,9,4
10,22,2021,9,14,26,29,66,22,3
10,19,2021,3,12,13,19,52,1,3
10,15,2021,3,20,31,34,65,18,3
10,12,2021,21,26,56,61,65,4,3
10,8,2021,21,24,36,40,70,22,5
10,5,2021,7,11,18,30,36,4,3
10,1,2021,21,25,36,62,63,6,2
09,28,2021,18,30,43,68,69,22,4
09,24,2021,17,21,27,43,56,15,3
09,21,2021,36,41,45,51,56,13,3
09,17,2021,17,32,40,59,61,18,3
09,14,2021,4,13,19,63,64,16,2
09,10,2021,20,32,35,47,64,18,2
09,7,2021,15,17,25,32,53,12,3
09,3,2021,7,10,12,61,65,3,2
08,31,2021,8,14,31,58,68,15,3
08,27,2021,1,10,44,47,56,23,3
08,24,2021,17,18,26,52,67,19,2
08,20,2021,41,43,51,57,70,1,2
08,17,2021,3,6,16,38,56,24,3
08,13,2021,17,21,35,40,53,11,2
08,10,2021,29,45,50,59,62,12,2
08,6,2021,9,18,40,46,69,9,2
08,3,2021,1,9,17,27,34,24,2
07,30,2021,19,26,31,52,68,10,3
07,27,2021,2,35,36,54,64,11,3
07,23,2021,13,17,19,40,69,17,3
07,20,2021,10,26,30,52,57,10,2
07,16,2021,24,25,47,52,57,24,4
07,13,2021,3,10,17,26,55,24,2
07,9,2021,6,37,39,41,46,17,2
07,6,2021,18,47,63,68,69,14,3
07,2,2021,8,31,32,34,45,19,2
06,29,2021,7,38,50,52,69,21,3
06,25,2021,17,20,42,45,65,12,4
06,22,2021,1,26,48,51,59,25,4
06,18,2021,14,36,44,46,53,18,2
06,15,2021,18,22,27,38,52,11,4
06,11,2021,4,43,56,63,68,13,4
06,8,2021,9,22,39,41,54,19,3
06,4,2021,4,30,34,41,64,8,3
06,1,2021,7,11,33,58,63,23,2
05,28,2021,10,14,20,47,70,15,2
05,25,2021,14,21,31,34,54,11,3
05,21,2021,6,9,17,18,48,8,3
05,18,2021,3,5,56,61,66,4,2
05,14,2021,3,18,41,44,68,3,2
05,11,2021,7,8,20,36,39,22,3
05,7,2021,5,10,19,21,50,10,4
05,4,2021,4,27,32,57,63,22,3
04,30,2021,8,19,26,48,49,5,3
04,27,2021,15,22,30,41,42,25,4
04,23,2021,4,28,29,30,60,25,3
04,20,2021,6,23,43,49,52,5,3
04,16,2021,17,27,28,50,55,25,4
04,13,2021,10,15,19,45,68,9,4
04,9,2021,22,26,27,58,66,12,2
04,6,2021,1,19,20,32,42,17,3
04,2,2021,10,42,48,53,62,19,2
03,30,2021,11,37,47,53,56,15,3
03,26,2021,4,25,37,46,67,15,3
03,23,2021,12,23,35,38,55,11,2
03,19,2021,9,14,40,58,69,8,3
03,16,2021,10,41,46,52,69,8,2
03,12,2021,2,24,25,31,65,18,4
03,9,2021,4,33,46,58,65,13,2
03,5,2021,10,11,17,27,54,20,2
03,2,2021,4,8,13,34,64,18,2
02,26,2021,11,15,37,62,64,5,2
02,23,2021,5,7,9,20,57,15,3
02,19,2021,27,32,47,50,53,4,4
02,16,2021,1,36,44,54,66,10,3
02,12,2021,5,14,24,25,27,14,3
02,9,2021,7,18,21,31,40,9,4
02,5,2021,14,17,28,29,44,2,4
02,2,2021,13,37,38,40,67,10,2
01,29,2021,4,44,58,59,70,3,3
01,26,2021,29,49,56,66,67,24,3
01,22,2021,4,26,42,50,60,24,2
01,19,2021,10,19,26,28,50,16,2
01,15,2021,3,11,12,38,43,15,4
01,12,2021,12,14,26,28,33,9,2
01,8,2021,3,6,16,18,58,11,2
01,5,2021,20,43,51,55,57,4,2
01,1,2021,8,24,53,68,69,7,5
12,29,2020,1,31,35,48,62,19,3
12,25,2020,17,23,36,69,70,19,2
12,22,2020,29,53,56,59,67,21,2
12,18,2020,7,15,25,51,60,5,3
12,15,2020,1,10,18,20,46,15,2
12,11,2020,19,31,37,55,67,25,4
12,8,2020,15,19,33,39,68,25,3
12,4,2020,3,19,24,44,50,8,3
12,1,2020,7,33,53,61,65,14,2
11,27,2020,4,10,27,35,58,10,2
11,24,2020,9,15,34,61,64,6,2
11,20,2020,26,33,45,61,68,17,3
11,17,2020,8,13,35,46,68,16,3
11,13,2020,6,7,14,28,59,7,2
11,10,2020,23,45,53,58,62,13,5
11,6,2020,18,24,27,34,60,2,2
11,3,2020,7,31,44,45,55,19,3
10,30,2020,14,19,34,39,59,11,2
10,27,2020,6,13,34,46,62,1,3
10,23,2020,18,34,44,60,69,22,2
10,20,2020,46,54,57,58,66,10,3
10,16,2020,27,32,50,52,57,12,5
10,13,2020,11,44,45,46,70,25,2
10,9,2020,5,11,25,27,64,13,2
10,6,2020,15,16,18,39,59,17,3
10,2,2020,9,38,47,49,68,25,2
09,29,2020,14,39,43,44,67,19,3
09,25,2020,20,36,37,48,67,16,2
09,22,2020,36,43,44,55,68,12,4
09,18,2020,26,29,41,52,64,11,3
09,15,2020,25,28,38,59,62,22,4
09,11,2020,3,15,42,48,56,13,2
09,8,2020,7,10,15,31,57,21,2
09,4,2020,19,22,24,28,53,25,3
09,1,2020,15,25,26,38,47,22,4
08,28,2020,3,9,50,53,64,1,3
08,25,2020,8,10,15,17,57,12,3
08,21,2020,11,15,31,42,63,14,2
08,18,2020,4,18,26,27,58,23,4
08,14,2020,3,24,29,42,47,13,2
08,11,2020,8,22,29,43,56,9,4
08,7,2020,4,44,53,64,70,3,2
08,4,2020,2,22,30,42,62,20,3
07,31,2020,12,35,46,48,69,23,2
07,28,2020,17,20,27,31,34,19,4
07,24,2020,8,33,39,54,58,17,3
07,21,2020,14,25,26,41,43,15,3
07,17,2020,12,13,21,46,57,21,3
07,14,2020,6,26,55,56,64,22,4
07,10,2020,10,15,20,49,53,22,5
07,7,2020,16,20,25,30,43,18,3
07,3,2020,20,40,44,45,50,24,2
06,30,2020,9,16,29,37,53,11,2
06,26,2020,19,33,37,56,57,6,2
06,23,2020,6,20,37,40,48,15,3
06,19,2020,11,34,36,52,66,7,2
06,16,2020,21,23,33,35,42,6,3
06,12,2020,9,14,57,67,70,2,3
06,9,2020,1,5,9,10,23,22,2
06,5,2020,32,35,37,47,55,22,3
06,2,2020,9,20,23,26,29,8,3
05,29,2020,10,13,32,41,51,3,2
05,26,2020,34,52,58,59,62,4,3
05,22,2020,8,10,20,44,46,18,4
05,19,2020,8,19,25,36,66,9,2
05,15,2020,11,17,32,33,46,25,3
05,12,2020,7,16,27,44,52,5,5
05,8,2020,5,20,22,61,70,4,2
05,5,2020,7,13,17,21,45,14,2
05,1,2020,28,30,31,35,66,14,2
04,28,2020,13,19,53,54,63,17,3
04,24,2020,1,27,32,60,67,18,2
04,21,2020,13,15,24,67,70,17,2
04,17,2020,13,35,39,46,55,14,4
04,14,2020,29,47,65,69,70,7,4
04,10,2020,2,11,21,57,60,13,2
04,7,2020,25,33,43,51,68,20,2
04,3,2020,24,38,44,57,58,17,4
03,31,2020,8,17,51,57,70,2,4
03,27,2020,3,25,28,50,60,1,4
03,24,2020,2,8,16,18,31,14,2
03,20,2020,34,35,41,45,54,5,4
03,17,2020,20,27,28,58,59,25,3
03,13,2020,7,22,37,43,44,22,4
03,10,2020,6,17,48,54,69,12,5
03,6,2020,15,48,56,58,70,4,4
03,3,2020,8,12,33,56,64,2,2
02,28,2020,2,3,14,41,64,17,2
02,25,2020,2,9,43,49,63,15,2
02,21,2020,4,7,13,16,60,6,4
02,18,2020,6,12,39,61,70,4,3
02,14,2020,10,32,48,54,55,18,5
02,11,2020,4,6,32,52,64,6,2
02,7,2020,9,14,27,36,52,4,3
02,4,2020,32,48,50,51,64,10,2
01,31,2020,28,31,33,57,62,19,2
01,28,2020,17,36,47,51,62,21,3
01,24,2020,3,4,18,23,38,24,4
01,21,2020,16,18,29,31,37,8,3
01,17,2020,3,25,30,54,70,9,3
01,14,2020,9,11,13,31,47,11,2
01,10,2020,17,27,49,51,66,2,2
01,7,2020,25,40,41,52,56,21,4
01,3,2020,37,41,42,53,63,16,2
